t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,simple,B,0.95,0.3,319.2523924663503,0.1,1,0,1.0,0.9050935055872991
1,linucb,hard,A,0.95,0.3,915.4792472306547,1.0,1,0,1.0,0.7146870850782783
2,linucb,simple,A,0.8,0.5640000000000001,1068.7765161105494,1.0,1,0,1.0,0.7037962711754211
3,linucb,simple,A,0.8,0.79632,1472.7283353578512,1.0,1,0,1.0,0.6783766720193405
4,linucb,simple,A,0.8,1.0,1887.8897605870143,1.0,1,0,1.0,0.6556863483649688
5,linucb,simple,A,0.8,1.0,1877.2408726299518,1.0,1,0,1.0,0.6562351490785827
6,linucb,simple,A,0.8,1.0,1911.585064485966,1.0,1,0,1.0,0.6544707150073951
7,linucb,hard,C,0.75,0.3,494.7598310685696,0.35,0,0,0.875,0.0
8,linucb,simple,D,0.85,0.3,384.68466925729115,0.22,1,0,0.8888888888888888,0.8792862987604226
9,linucb,hard,A,0.95,0.9814719999999999,1494.4919982044812,1.0,1,0,0.9,0.6771132163406074
10,linucb,simple,A,0.8,1.0,1642.9448456377809,1.0,1,0,0.9090909090909091,0.6687297682663929
11,linucb,simple,B,0.95,0.3735242576664822,414.72043018601596,0.1,1,0,0.9166666666666666,0.8939263561521759
12,linucb,hard,A,0.95,1.0,1915.0394473990555,1.0,1,0,0.9230769230769231,0.6542941264346388
13,linucb,hard,A,0.95,1.0,2052.0547499413306,1.0,1,0,0.9285714285714286,0.65
14,linucb,simple,A,0.8,1.0,1906.5472060881775,1.0,1,0,0.9333333333333333,0.6547285373594913
15,linucb,simple,D,0.85,0.42260267891097597,521.7831038400685,0.22,1,0,0.9375,0.8648449116450806
16,linucb,simple,B,0.95,0.49712067246962977,422.12659871289446,0.1,0,0,0.8823529411764706,0.0
17,linucb,simple,A,0.8,0.9814719999999999,1460.951241070891,1.0,1,0,0.8888888888888888,0.6790642669848758
18,linucb,simple,A,0.8,1.0,1783.9617898901552,1.0,1,0,0.8947368421052632,0.6611105196211204
19,linucb,hard,E,0.9,0.3,740.6652743231275,0.6,0,0,0.85,0.0
20,linucb,simple,A,0.8,1.0,1793.6515541989659,1.0,1,0,0.8571428571428571,0.6605982284032714
21,linucb,simple,A,0.8,1.0,1596.5985047138417,1.0,1,0,0.8636363636363636,0.6713048123359869
22,linucb,simple,A,0.8,1.0,1607.4748160956437,1.0,1,0,0.8695652173913043,0.6706971937701116
23,linucb,hard,C,0.75,0.3388010974296297,611.120266029442,0.35,1,0,0.875,0.8369450122310674
24,linucb,simple,B,0.95,0.47878175681462054,414.37815989287174,0.1,1,0,0.88,0.8939639456157208
25,linucb,simple,B,0.95,0.721327945996866,584.1159573506139,0.1,1,0,0.8846153846153846,0.8769152224084618
26,linucb,hard,A,0.95,0.8996953599999999,1826.2855931804213,1.0,1,0,0.8888888888888888,0.6588829890783962
27,linucb,hard,A,0.95,1.0,1830.2628534057922,1.0,1,0,0.8928571428571429,0.6586749962286271
28,linucb,simple,D,0.85,0.38020602322838065,465.6586110575746,0.22,1,0,0.896551724137931,0.8704952217703626
29,linucb,simple,A,0.8,1.0,1661.3220376314166,1.0,1,0,0.9,0.6677187866163155
30,linucb,simple,A,0.8,1.0,1748.6916060884496,1.0,1,0,0.9032258064516129,0.6629870803346223
31,linucb,simple,A,0.8,1.0,2012.5777295831447,1.0,1,0,0.90625,0.65
32,linucb,simple,A,0.8,1.0,2069.7592955960786,1.0,1,0,0.9090909090909091,0.65
33,linucb,simple,B,0.95,0.5594144330875317,469.20904920893645,0.1,1,0,0.9117647058823529,0.8881280175480096
34,linucb,simple,B,0.95,0.7922847011170279,597.3627578833054,0.1,0,0,0.8857142857142857,0.0
