t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb_frozen,simple,B,0.95,0.3,319.7018136226216,0.1,0,0,0.0,0.0
1,linucb_frozen,hard,A,0.95,0.3,865.5736431839867,1.0,1,0,0.5,0.7184269295650522
2,linucb_frozen,simple,A,0.8,0.5640000000000001,1149.732027918466,1.0,1,0,0.6666666666666666,0.6983601617042232
3,linucb_frozen,simple,A,0.8,0.79632,1376.8884632250342,1.0,1,0,0.75,0.6840549209391833
4,linucb_frozen,simple,A,0.8,1.0,1451.9279170709583,1.0,1,0,0.8,0.6795929627585199
5,linucb_frozen,simple,A,0.8,1.0,1977.5824940797402,1.0,1,0,0.8333333333333334,0.6511240339266838
6,linucb_frozen,simple,A,0.8,1.0,1961.8385053845316,1.0,1,0,0.8571428571428571,0.6519172644885712
7,linucb_frozen,hard,C,0.75,0.3,543.599043083306,0.35,0,0,0.75,0.0
8,linucb_frozen,simple,A,0.8,1.0,1730.440351673778,1.0,1,0,0.7777777777777778,0.6639655756762325
9,linucb_frozen,hard,A,0.95,1.0,1876.3197919649235,1.0,1,0,0.8,0.6562826909145739
10,linucb_frozen,simple,D,0.85,0.3,406.66331285393386,0.22,1,0,0.8181818181818182,0.8768153768257655
11,linucb_frozen,simple,A,0.8,1.0,1552.1209165694936,1.0,1,0,0.8333333333333334,0.6738114125960768
12,linucb_frozen,hard,A,0.95,1.0,1741.1718943319638,1.0,1,0,0.8461538461538461,0.6633896093819015
13,linucb_frozen,hard,E,0.9,0.3,765.6303180101357,0.6,0,0,0.7857142857142857,0.0
14,linucb_frozen,simple,B,0.95,0.35010472292049294,353.4613457123643,0.1,0,0,0.7333333333333333,0.0
15,linucb_frozen,simple,A,0.8,0.9814719999999999,1519.4622152965521,1.0,1,0,0.75,0.6756748890551592
16,linucb_frozen,simple,A,0.8,1.0,1796.0980987755547,1.0,1,0,0.7647058823529411,0.6604691002091978
17,linucb_frozen,simple,A,0.8,1.0,2209.421597913431,1.0,0,0,0.7222222222222222,0.0
18,linucb_frozen,simple,A,0.8,1.0,1761.3080532782715,1.0,1,0,0.7368421052631579,0.6623136630823505
19,linucb_frozen,hard,C,0.75,0.3647013467465043,596.6729410141581,0.35,0,0,0.7,0.0
20,linucb_frozen,simple,B,0.95,0.4625900641266568,431.01371873078403,0.1,1,0,0.7142857142857143,0.8921545672926466
21,linucb_frozen,simple,A,0.8,0.9814719999999999,1649.8789736492058,1.0,1,0,0.7272727272727273,0.6683476411576659
22,linucb_frozen,simple,A,0.8,1.0,1721.4308473947392,1.0,1,0,0.7391304347826086,0.6644505000063465
