t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,static_rule,simple,B,0.95,0.3,350.0806281175332,0.1,0,0,0.0,0.0
1,static_rule,hard,A,0.95,0.3,967.4460701677253,1.0,1,0,0.5,0.0
2,static_rule,simple,B,0.95,0.53232,325.5749071621709,0.1,1,0,0.6666666666666666,0.0
3,static_rule,simple,B,0.95,0.7684416000000001,556.7819335669863,0.1,1,0,0.75,0.0
4,static_rule,simple,B,0.95,0.976228608,667.7467244057738,0.1,1,0,0.8,0.0
5,static_rule,simple,B,0.95,1.0,781.0568246722269,0.1,0,0,0.6666666666666666,0.0
6,static_rule,simple,B,0.95,1.0,697.1960222370645,0.1,1,0,0.7142857142857143,0.0
7,static_rule,hard,A,0.95,0.43932122603519996,1218.2571514340373,1.0,1,0,0.75,0.0
8,static_rule,simple,B,0.95,1.0,725.055212899359,0.1,0,0,0.6666666666666666,0.0
9,static_rule,hard,A,0.95,0.6402103574416589,1136.9335152802819,1.0,1,0,0.7,0.0
10,static_rule,simple,B,0.95,1.0,678.1557957775759,0.1,1,0,0.7272727272727273,0.0
11,static_rule,simple,B,0.95,1.0,680.921895469165,0.1,1,0,0.75,0.0
12,static_rule,hard,A,0.95,0.7362854327064821,1506.689430045171,1.0,1,0,0.7692307692307693,0.0
13,static_rule,hard,A,0.95,0.9479311807817041,1574.1103144935441,1.0,1,0,0.7857142857142857,0.0
14,static_rule,simple,B,0.95,0.9814719999999999,749.8605767858633,0.1,1,0,0.8,0.0
15,static_rule,simple,B,0.95,1.0,689.0587273992362,0.1,1,0,0.8125,0.0
16,static_rule,simple,B,0.95,1.0,804.1955430184324,0.1,0,0,0.7647058823529411,0.0
17,static_rule,simple,B,0.95,1.0,745.1498435768059,0.1,1,0,0.7777777777777778,0.0
18,static_rule,simple,B,0.95,1.0,696.898591624557,0.1,1,0,0.7894736842105263,0.0
19,static_rule,hard,A,0.95,0.7402231143450062,1338.8610369631897,1.0,1,0,0.8,0.0
20,static_rule,simple,B,0.95,1.0,670.6005755960201,0.1,1,0,0.8095238095238095,0.0
21,static_rule,simple,B,0.95,1.0,702.1378381891694,0.1,1,0,0.8181818181818182,0.0
22,static_rule,simple,B,0.95,1.0,691.5330749640481,0.1,0,0,0.782608695652174,0.0
23,static_rule,hard,A,0.95,0.7439083670374498,1252.8100795782354,1.0,1,0,0.7916666666666666,0.0
24,static_rule,simple,B,0.95,1.0,678.84762205386,0.1,1,0,0.8,0.0
25,static_rule,simple,B,0.95,1.0,656.3349535920229,0.1,0,0,0.7692307692307693,0.0
26,static_rule,hard,A,0.95,0.806952722701745,1701.719525224613,1.0,1,0,0.7777777777777778,0.0
27,static_rule,hard,A,0.95,1.0,1752.8332578722989,1.0,1,0,0.7857142857142857,0.0
28,static_rule,simple,B,0.95,0.9814719999999999,581.7234092787603,0.1,0,0,0.7586206896551724,0.0
29,static_rule,simple,B,0.95,1.0,696.6607841412984,0.1,1,0,0.7666666666666667,0.0
30,static_rule,simple,B,0.95,1.0,706.1241403342636,0.1,0,0,0.7419354838709677,0.0
31,static_rule,simple,B,0.95,1.0,773.5626885362894,0.1,1,0,0.75,0.0
32,static_rule,simple,B,0.95,1.0,677.4480965536447,0.1,1,0,0.7575757575757576,0.0
33,static_rule,simple,B,0.95,1.0,752.1038546002512,0.1,1,0,0.7647058823529411,0.0
34,static_rule,simple,B,0.95,1.0,857.864125763931,0.1,1,0,0.7714285714285715,0.0
35,static_rule,simple,B,0.95,1.0,716.6101925937472,0.1,1,0,0.7777777777777778,0.0
36,static_rule,simple,B,0.95,1.0,700.0814362976851,0.1,1,0,0.7837837837837838,0.0
37,static_rule,simple,B,0.95,1.0,751.6981134137559,0.1,1,0,0.7894736842105263,0.0
38,static_rule,simple,B,0.95,1.0,763.3585842621809,0.1,1,0,0.7948717948717948,0.0
39,static_rule,simple,B,0.95,1.0,691.6332965116634,0.1,1,0,0.8,0.0
40,static_rule,simple,B,0.95,1.0,678.8017377256755,0.1,1,0,0.8048780487804879,0.0
41,static_rule,hard,A,0.95,0.46701574306830973,1158.1013581184156,1.0,1,0,0.8095238095238095,0.0
42,static_rule,simple,B,0.95,1.0,739.4606425701545,0.1,1,0,0.813953488372093,0.0
43,static_rule,simple,B,0.95,1.0,720.0266748547003,0.1,1,0,0.8181818181818182,0.0
44,static_rule,hard,A,0.95,0.6182581524602472,1236.2943279011854,1.0,1,0,0.8222222222222222,0.0
45,static_rule,simple,B,0.95,1.0,637.3130306466545,0.1,1,0,0.8260869565217391,0.0
46,static_rule,hard,A,0.95,0.7787791132652153,1298.5362837923728,1.0,1,0,0.8297872340425532,0.0
47,static_rule,simple,B,0.95,1.0,661.3072696180919,0.1,1,0,0.8333333333333334,0.0
48,static_rule,simple,B,0.95,1.0,713.7153980376016,0.1,1,0,0.8367346938775511,0.0
49,static_rule,simple,B,0.95,1.0,846.9540822620945,0.1,1,0,0.84,0.0
50,static_rule,simple,B,0.95,1.0,705.6564908234313,0.1,1,0,0.86,0.0
51,static_rule,simple,B,0.95,1.0,713.5121033532796,0.1,1,0,0.86,0.0
52,static_rule,simple,B,0.95,1.0,776.4599779124039,0.1,1,0,0.86,0.0
53,static_rule,simple,B,0.95,1.0,831.9263250459089,0.1,1,0,0.86,0.0
54,static_rule,simple,B,0.95,1.0,707.0828210559044,0.1,1,0,0.86,0.0
55,static_rule,simple,B,0.95,1.0,766.4806886625935,0.1,1,0,0.88,0.0
56,static_rule,hard,A,0.95,0.5168907431400992,1148.9222599566747,1.0,1,0,0.88,0.0
57,static_rule,simple,B,0.95,1.0,751.6921042825543,0.1,1,0,0.88,0.0
58,static_rule,hard,A,0.95,0.7002801914876928,1399.0714739479304,1.0,1,0,0.9,0.0
59,static_rule,simple,B,0.95,1.0,645.1480843925563,0.1,1,0,0.9,0.0
60,static_rule,simple,B,0.95,1.0,680.5419183874402,0.1,1,0,0.9,0.0
61,static_rule,simple,B,0.95,1.0,695.7332375492413,0.1,1,0,0.9,0.0
62,static_rule,simple,B,0.95,1.0,680.3601065199053,0.1,1,0,0.9,0.0
63,static_rule,simple,B,0.95,1.0,796.6739878565836,0.1,1,0,0.9,0.0
64,static_rule,simple,B,0.95,1.0,684.2920463039476,0.1,0,0,0.88,0.0
65,static_rule,simple,B,0.95,1.0,656.379282202472,0.1,1,0,0.88,0.0
66,static_rule,simple,B,0.95,1.0,691.3801816583972,0.1,1,0,0.9,0.0
67,static_rule,hard,A,0.95,0.5216235418288335,1194.0628398928857,1.0,1,0,0.9,0.0
68,static_rule,simple,B,0.95,1.0,759.560799495988,0.1,1,0,0.9,0.0
69,static_rule,simple,B,0.95,1.0,707.7087678999366,0.1,1,0,0.9,0.0
70,static_rule,simple,B,0.95,1.0,842.9180877600077,0.1,1,0,0.9,0.0
71,static_rule,simple,B,0.95,1.0,643.2541906672031,0.1,1,0,0.9,0.0
72,static_rule,simple,B,0.95,1.0,693.6681215498767,0.1,1,0,0.92,0.0
73,static_rule,simple,B,0.95,1.0,730.8976008305111,0.1,1,0,0.92,0.0
74,static_rule,simple,B,0.95,1.0,714.5227193531922,0.1,1,0,0.92,0.0
75,static_rule,simple,B,0.95,1.0,726.2864295922469,0.1,0,0,0.92,0.0
76,static_rule,simple,B,0.95,1.0,693.5120719147869,0.1,1,0,0.92,0.0
77,static_rule,simple,B,0.95,1.0,657.741635023335,0.1,1,0,0.92,0.0
78,static_rule,simple,B,0.95,1.0,725.8485972373724,0.1,0,0,0.92,0.0
79,static_rule,simple,B,0.95,1.0,695.6793422295056,0.1,1,0,0.92,0.0
80,static_rule,simple,B,0.95,1.0,693.9788541019242,0.1,1,0,0.94,0.0
81,static_rule,simple,B,0.95,1.0,657.7875554593886,0.1,1,0,0.94,0.0
82,static_rule,simple,B,0.95,1.0,778.5021034944582,0.1,1,0,0.94,0.0
83,static_rule,simple,B,0.95,1.0,716.2019607929395,0.1,1,0,0.94,0.0
84,static_rule,simple,B,0.95,1.0,726.0724295044608,0.1,1,0,0.94,0.0
85,static_rule,simple,B,0.95,1.0,713.55808141979,0.1,1,0,0.94,0.0
86,static_rule,simple,B,0.95,1.0,802.745764356516,0.1,1,0,0.94,0.0
87,static_rule,simple,B,0.95,1.0,658.9844532926231,0.1,1,0,0.94,0.0
88,static_rule,hard,A,0.95,0.3356035496358884,949.0482741118534,1.0,1,0,0.94,0.0
89,static_rule,hard,A,0.95,0.5953311236795817,988.1042124699188,1.0,1,0,0.94,0.0
90,static_rule,hard,A,0.95,0.8238913888380319,1588.8257122401976,1.0,1,0,0.94,0.0
91,static_rule,simple,B,0.95,0.8996953599999999,567.0044575271861,0.1,1,0,0.94,0.0
92,static_rule,simple,B,0.95,1.0,657.8315993814509,0.1,0,0,0.92,0.0
93,static_rule,simple,B,0.95,1.0,756.8247315757076,0.1,0,0,0.9,0.0
94,static_rule,hard,A,0.95,0.7940838430301236,1490.761627582079,1.0,1,0,0.9,0.0
95,static_rule,simple,B,0.95,1.0,732.8394887786399,0.1,1,0,0.9,0.0
96,static_rule,simple,B,0.95,1.0,818.0614385290787,0.1,1,0,0.9,0.0
97,static_rule,simple,B,0.95,1.0,740.0564831549308,0.1,1,0,0.9,0.0
98,static_rule,simple,B,0.95,1.0,698.0512237024939,0.1,1,0,0.9,0.0
99,static_rule,simple,B,0.95,1.0,643.1568218850948,0.1,1,0,0.9,0.0
100,static_rule,hard,A,0.95,0.6687757819523337,1335.1947132378152,1.0,1,0,0.9,0.0
101,static_rule,simple,B,0.95,1.0,613.1519740739111,0.1,1,0,0.9,0.0
102,static_rule,simple,B,0.95,1.0,731.0504310665277,0.1,0,0,0.88,0.0
103,static_rule,simple,B,0.95,1.0,697.6574471654318,0.1,1,0,0.88,0.0
104,static_rule,simple,B,0.95,1.0,717.8127843689828,0.1,1,0,0.88,0.0
105,static_rule,simple,B,0.95,1.0,721.7106761769069,0.1,1,0,0.88,0.0
106,static_rule,hard,A,0.95,0.610582206280829,1090.3002823588172,1.0,1,0,0.88,0.0
107,static_rule,simple,B,0.95,1.0,767.6672461968992,0.1,1,0,0.88,0.0
108,static_rule,simple,B,0.95,1.0,713.2493105932241,0.1,1,0,0.88,0.0
109,static_rule,simple,B,0.95,1.0,705.7361628551115,0.1,0,0,0.86,0.0
110,static_rule,simple,B,0.95,1.0,651.7919204242369,0.1,1,0,0.86,0.0
111,static_rule,simple,B,0.95,1.0,626.313381343837,0.1,1,0,0.86,0.0
112,static_rule,simple,B,0.95,1.0,733.0472085597263,0.1,1,0,0.86,0.0
113,static_rule,hard,A,0.95,0.5495300472846794,1112.9475984971307,1.0,1,0,0.86,0.0
114,static_rule,simple,B,0.95,1.0,635.9443184395878,0.1,1,0,0.88,0.0
115,static_rule,simple,B,0.95,1.0,771.1043093423084,0.1,1,0,0.88,0.0
116,static_rule,simple,B,0.95,1.0,706.8374792809785,0.1,1,0,0.88,0.0
117,static_rule,simple,B,0.95,1.0,838.4542808018675,0.1,1,0,0.88,0.0
118,static_rule,simple,B,0.95,1.0,652.7976071317976,0.1,1,0,0.88,0.0
119,static_rule,hard,A,0.95,0.5552039997696099,1235.8405048582888,1.0,1,0,0.88,0.0
120,static_rule,simple,B,0.95,1.0,652.3431888783455,0.1,1,0,0.88,0.0
121,static_rule,simple,B,0.95,1.0,640.3639913376745,0.1,0,0,0.86,0.0
122,static_rule,simple,B,0.95,1.0,815.0789478682618,0.1,1,0,0.86,0.0
123,static_rule,simple,B,0.95,1.0,796.0439664547281,0.1,1,0,0.86,0.0
124,static_rule,hard,A,0.95,0.5929988710134431,1366.2634221441845,1.0,1,0,0.86,0.0
125,static_rule,simple,B,0.95,1.0,597.2348466293757,0.1,1,0,0.88,0.0
126,static_rule,hard,A,0.95,0.7592183257128102,1218.9781585403696,1.0,1,0,0.88,0.0
127,static_rule,simple,B,0.95,1.0,617.2849747703234,0.1,0,0,0.86,0.0
128,static_rule,simple,B,0.95,1.0,631.7685065915921,0.1,1,0,0.88,0.0
129,static_rule,simple,B,0.95,1.0,728.0709113707941,0.1,0,0,0.86,0.0
130,static_rule,simple,B,0.95,1.0,722.530981310704,0.1,0,0,0.84,0.0
131,static_rule,hard,A,0.95,0.7006637422981081,1241.428307338442,1.0,1,0,0.84,0.0
132,static_rule,simple,B,0.95,1.0,650.4264401081167,0.1,1,0,0.84,0.0
133,static_rule,simple,B,0.95,1.0,757.1453405762475,0.1,1,0,0.84,0.0
134,static_rule,hard,A,0.95,0.7774827217913765,1225.7500291741753,1.0,1,0,0.84,0.0
135,static_rule,simple,B,0.95,1.0,680.0845984675009,0.1,1,0,0.84,0.0
136,static_rule,hard,A,0.95,0.9020826197552418,1602.1367739075663,1.0,1,0,0.84,0.0
137,static_rule,simple,B,0.95,1.0,701.999714208979,0.1,0,0,0.82,0.0
138,static_rule,simple,B,0.95,1.0,817.1859902177067,0.1,0,0,0.8,0.0
139,static_rule,hard,A,0.95,0.9147440470498442,1360.4456730123563,1.0,1,0,0.8,0.0
140,static_rule,simple,B,0.95,1.0,597.6760311280625,0.1,0,0,0.78,0.0
141,static_rule,simple,B,0.95,1.0,757.1340724720743,0.1,1,0,0.78,0.0
142,static_rule,simple,B,0.95,1.0,653.4065589322889,0.1,1,0,0.8,0.0
143,static_rule,simple,B,0.95,1.0,702.0876062425028,0.1,0,0,0.8,0.0
144,static_rule,simple,B,0.95,1.0,835.9428254519959,0.1,1,0,0.8,0.0
145,static_rule,simple,B,0.95,1.0,644.645739073518,0.1,0,0,0.78,0.0
146,static_rule,simple,B,0.95,1.0,625.7858796951324,0.1,1,0,0.78,0.0
147,static_rule,simple,B,0.95,1.0,760.477365749852,0.1,1,0,0.78,0.0
148,static_rule,simple,B,0.95,1.0,728.6967390923554,0.1,1,0,0.78,0.0
149,static_rule,simple,B,0.95,1.0,725.0241148130665,0.1,1,0,0.78,0.0
150,static_rule,simple,B,0.95,1.0,691.0129202805522,0.1,0,0,0.76,0.0
151,static_rule,simple,B,0.95,1.0,701.4674757243505,0.1,1,0,0.76,0.0
152,static_rule,simple,B,0.95,1.0,733.5154867444666,0.1,0,0,0.76,0.0
153,static_rule,simple,B,0.95,1.0,718.3087772692392,0.1,1,0,0.76,0.0
154,static_rule,hard,A,0.95,0.43444345792710154,1008.3655546036015,1.0,1,0,0.76,0.0
155,static_rule,simple,B,0.95,1.0,678.3810208173682,0.1,0,0,0.74,0.0
156,static_rule,simple,B,0.95,1.0,743.5605900434238,0.1,1,0,0.74,0.0
157,static_rule,simple,B,0.95,1.0,609.9321448540223,0.1,1,0,0.74,0.0
158,static_rule,simple,B,0.95,1.0,754.2473756118787,0.1,1,0,0.74,0.0
159,static_rule,simple,B,0.95,1.0,690.4936233422668,0.1,1,0,0.76,0.0
160,static_rule,hard,A,0.95,0.5017573173379187,1057.8737550550527,1.0,1,0,0.76,0.0
161,static_rule,simple,B,0.95,1.0,619.350492154525,0.1,1,0,0.76,0.0
162,static_rule,simple,B,0.95,1.0,732.0323846803067,0.1,1,0,0.76,0.0
163,static_rule,simple,B,0.95,1.0,796.3212667377359,0.1,1,0,0.76,0.0
164,static_rule,simple,B,0.95,1.0,662.9198797819464,0.1,0,0,0.74,0.0
165,static_rule,hard,A,0.95,0.5647933508471656,1283.6104718896881,1.0,1,0,0.74,0.0
166,static_rule,simple,B,0.95,1.0,686.2841524457847,0.1,1,0,0.74,0.0
167,static_rule,simple,B,0.95,1.0,812.5305833615008,0.1,0,0,0.72,0.0
168,static_rule,simple,B,0.95,1.0,703.5286323531757,0.1,1,0,0.72,0.0
169,static_rule,hard,A,0.95,0.6387039518618973,1179.851544224257,1.0,1,0,0.72,0.0
170,static_rule,simple,B,0.95,1.0,636.7351390823382,0.1,1,0,0.72,0.0
171,static_rule,simple,B,0.95,1.0,747.0080742524663,0.1,1,0,0.74,0.0
172,static_rule,simple,B,0.95,1.0,756.134299666855,0.1,1,0,0.74,0.0
173,static_rule,simple,B,0.95,1.0,800.0969574024601,0.1,1,0,0.74,0.0
174,static_rule,simple,B,0.95,1.0,793.1301766378537,0.1,1,0,0.74,0.0
175,static_rule,hard,A,0.95,0.5966167254897563,1241.4759388875113,1.0,1,0,0.74,0.0
176,static_rule,hard,A,0.95,0.8250227184309855,1560.4779288371706,1.0,1,0,0.74,0.0
177,static_rule,simple,B,0.95,0.9814719999999999,610.2541023289883,0.1,1,0,0.76,0.0
178,static_rule,simple,B,0.95,1.0,750.5592206861085,0.1,1,0,0.76,0.0
179,static_rule,simple,B,0.95,1.0,753.7745718869351,0.1,0,0,0.76,0.0
180,static_rule,simple,B,0.95,1.0,713.0912164932918,0.1,1,0,0.78,0.0
181,static_rule,simple,B,0.95,1.0,591.8887284509749,0.1,1,0,0.78,0.0
182,static_rule,simple,B,0.95,1.0,671.998401879415,0.1,1,0,0.78,0.0
183,static_rule,hard,A,0.95,0.6371666514735157,1183.9552727486996,1.0,1,0,0.78,0.0
184,static_rule,simple,B,0.95,1.0,673.4697314558423,0.1,1,0,0.78,0.0
185,static_rule,simple,B,0.95,1.0,710.9232641387284,0.1,1,0,0.78,0.0
186,static_rule,simple,B,0.95,1.0,677.1350579037938,0.1,1,0,0.78,0.0
187,static_rule,simple,B,0.95,1.0,711.6793335956352,0.1,1,0,0.8,0.0
188,static_rule,hard,A,0.95,0.636253178303156,1171.594305523929,1.0,1,0,0.82,0.0
189,static_rule,simple,B,0.95,1.0,718.2968680604398,0.1,1,0,0.82,0.0
190,static_rule,simple,B,0.95,1.0,624.5044327967225,0.1,1,0,0.84,0.0
191,static_rule,simple,B,0.95,1.0,808.9876261742002,0.1,1,0,0.84,0.0
192,static_rule,simple,B,0.95,1.0,725.8144200633548,0.1,1,0,0.84,0.0
