t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,simple,B,0.95,0.3,319.2523924663503,0.1,1,0,1.0,0.9050935055872991
1,linucb,hard,A,0.95,0.3,915.4792472306547,1.0,0,0,0.5,0.0
2,linucb,simple,A,0.8,0.5640000000000001,1068.7765161105494,1.0,1,0,0.6666666666666666,0.7037962711754211
3,linucb,simple,A,0.8,0.79632,1472.7283353578512,1.0,1,0,0.75,0.6783766720193405
4,linucb,simple,A,0.8,1.0,1887.8897605870143,1.0,1,0,0.8,0.6556863483649688
5,linucb,simple,A,0.8,1.0,1877.2408726299518,1.0,1,0,0.8333333333333334,0.6562351490785827
6,linucb,simple,A,0.8,1.0,1911.585064485966,1.0,1,0,0.8571428571428571,0.6544707150073951
7,linucb,hard,C,0.75,0.3,494.7598310685696,0.35,0,0,0.75,0.0
8,linucb,simple,A,0.8,1.0,1590.352368652943,1.0,1,0,0.7777777777777778,0.6716546962405265
9,linucb,hard,A,0.95,1.0,1690.357764511663,1.0,0,0,0.7,0.0
10,linucb,simple,D,0.85,0.3,376.4951046707525,0.22,1,0,0.7272727272727273,0.8802249915389514
11,linucb,simple,B,0.95,0.3735242576664822,414.72043018601596,0.1,1,0,0.75,0.8939263561521759
12,linucb,hard,E,0.9,0.3,860.2695588056243,0.6,0,0,0.6923076923076923,0.0
13,linucb,hard,A,0.95,0.8996953599999999,1716.3346324651075,1.0,0,0,0.6428571428571429,0.0
14,linucb,simple,A,0.8,1.0,1808.325065575501,1.0,1,0,0.6666666666666666,0.6598250770697934
15,linucb,simple,A,0.8,1.0,2003.993333224813,1.0,1,0,0.6875,0.65
16,linucb,simple,A,0.8,1.0,1804.8056253419954,1.0,1,0,0.7058823529411765,0.6600102305205885
17,linucb,simple,B,0.95,0.4734661917732742,377.6134311500302,0.1,1,0,0.7222222222222222,0.8980962105371658
18,linucb,simple,D,0.85,0.40789035744165886,461.7383998572584,0.22,1,0,0.7368421052631579,0.8709022997301955
19,linucb,hard,C,0.75,0.3647013467465043,562.8133945694742,0.35,0,0,0.7,0.0
20,linucb,simple,A,0.8,0.8996953599999999,1598.7440763449868,1.0,1,0,0.7142857142857143,0.6711847838496406
21,linucb,simple,A,0.8,1.0,1514.3444056957032,1.0,1,0,0.7272727272727273,0.6759687151288193
22,linucb,simple,A,0.8,1.0,1607.4748160956437,1.0,1,0,0.7391304347826086,0.6706971937701116
