t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb_frozen,simple,B,0.95,0.3,319.7018136226216,0.1,0,0,0.0,0.0
1,linucb_frozen,hard,A,0.95,0.3,865.5736431839867,1.0,0,0,0.0,0.0
2,linucb_frozen,simple,A,0.8,0.5640000000000001,1149.732027918466,1.0,1,0,0.3333333333333333,0.6983601617042232
3,linucb_frozen,simple,A,0.8,0.79632,1376.8884632250342,1.0,1,0,0.5,0.6840549209391833
4,linucb_frozen,simple,A,0.8,1.0,1451.9279170709583,1.0,1,0,0.6,0.6795929627585199
5,linucb_frozen,simple,A,0.8,1.0,1977.5824940797402,1.0,1,0,0.6666666666666666,0.6511240339266838
6,linucb_frozen,simple,A,0.8,1.0,1961.8385053845316,1.0,1,0,0.7142857142857143,0.6519172644885712
7,linucb_frozen,hard,A,0.95,1.0,1828.8648533115445,1.0,0,0,0.625,0.0
8,linucb_frozen,simple,D,0.85,0.3,418.5700524450035,0.22,1,0,0.6666666666666666,0.875504639194656
9,linucb_frozen,hard,C,0.75,0.3,557.7042183207457,0.35,0,0,0.6,0.0
10,linucb_frozen,simple,A,0.8,0.9814719999999999,1584.0405133255051,1.0,1,0,0.6363636363636364,0.6720089601510512
11,linucb_frozen,simple,A,0.8,1.0,1638.3274989268102,1.0,1,0,0.6666666666666666,0.6689846692168417
12,linucb_frozen,hard,A,0.95,1.0,1741.1718943319638,1.0,1,0,0.6923076923076923,0.6633896093819015
13,linucb_frozen,hard,E,0.9,0.3,765.6303180101357,0.6,0,0,0.6428571428571429,0.0
14,linucb_frozen,simple,B,0.95,0.35010472292049294,353.4613457123643,0.1,0,0,0.6,0.0
15,linucb_frozen,simple,A,0.8,0.9814719999999999,1519.4622152965521,1.0,1,0,0.625,0.6756748890551592
16,linucb_frozen,simple,A,0.8,1.0,1796.0980987755547,1.0,1,0,0.6470588235294118,0.6604691002091978
17,linucb_frozen,simple,A,0.8,1.0,2209.421597913431,1.0,0,0,0.6111111111111112,0.0
18,linucb_frozen,simple,A,0.8,1.0,1761.3080532782715,1.0,1,0,0.631578947368421,0.6623136630823505
19,linucb_frozen,hard,A,0.95,1.0,1862.7943794736614,1.0,0,0,0.6,0.0
20,linucb_frozen,simple,B,0.95,0.4625900641266568,431.01371873078403,0.1,1,0,0.6190476190476191,0.8921545672926466
21,linucb_frozen,simple,D,0.85,0.3569371851369238,452.50568015722945,0.22,1,0,0.6363636363636364,0.8718679149647997
22,linucb_frozen,simple,B,0.95,0.6582297456596831,470.0488219325305,0.1,1,0,0.6521739130434783,0.888041367384587
23,linucb_frozen,hard,C,0.75,0.35010472292049294,565.3744074902854,0.35,0,0,0.625,0.0
24,linucb_frozen,simple,B,0.95,0.8097331150388585,506.2066252227816,0.1,1,0,0.64,0.8843812517248617
25,linucb_frozen,simple,B,0.95,1.0,561.8881328731366,0.1,1,0,0.6538461538461539,0.8789916859040635
26,linucb_frozen,hard,A,0.95,0.70867559636992,1346.2402404360428,1.0,0,0,0.6296296296296297,0.0
27,linucb_frozen,hard,E,0.9,0.35010472292049294,863.9453863384259,0.6,0,0,0.6071428571428571,0.0
28,linucb_frozen,simple,B,0.95,0.9814719999999999,701.9735269993433,0.1,0,0,0.5862068965517241,0.0
29,linucb_frozen,simple,B,0.95,1.0,779.3976185542853,0.1,1,0,0.6,0.860148278461666
30,linucb_frozen,simple,B,0.95,1.0,741.596187790175,0.1,1,0,0.6129032258064516,0.8632136142427919
31,linucb_frozen,simple,B,0.95,1.0,728.1378493973315,0.1,0,0,0.59375,0.0
32,linucb_frozen,simple,B,0.95,1.0,818.6805355177561,0.1,1,0,0.6060606060606061,0.8570405895982827
33,linucb_frozen,simple,A,0.8,0.5896184219792857,1156.1513055386508,1.0,1,0,0.6176470588235294,0.6979374269888444
34,linucb_frozen,simple,D,0.85,0.36774332864131154,461.96702047186596,0.22,1,0,0.6285714285714286,0.8708785122387438
35,linucb_frozen,simple,A,0.8,0.7566005059807588,1521.1025588851912,1.0,1,0,0.6388888888888888,0.6755808176326243
36,linucb_frozen,simple,A,0.8,0.9658084452630677,1680.6608325617144,1.0,1,0,0.6486486486486487,0.6666609243744414
37,linucb_frozen,simple,A,0.8,1.0,1847.6686670533063,1.0,1,0,0.6578947368421053,0.6577673978195526
38,linucb_frozen,simple,A,0.8,1.0,1856.4033282594476,1.0,1,0,0.6666666666666666,0.6573135537584728
39,linucb_frozen,simple,A,0.8,1.0,1979.1019477951488,1.0,1,0,0.675,0.6510476465183108
40,linucb_frozen,simple,A,0.8,1.0,1958.588326832626,1.0,1,0,0.6829268292682927,0.6520814143728474
41,linucb_frozen,hard,C,0.75,0.3350659870553173,631.9781670562265,0.35,1,0,0.6904761904761905,0.83507418738953
42,linucb_frozen,simple,A,0.8,1.0,1849.9109034520645,1.0,1,0,0.6976744186046512,0.6576507913480243
43,linucb_frozen,simple,A,0.8,1.0,1610.3078169071975,1.0,1,0,0.7045454545454546,0.670539262404993
44,linucb_frozen,hard,E,0.9,0.33984771256286056,926.3761572438384,0.6,0,0,0.6888888888888889,0.0
45,linucb_frozen,simple,D,0.85,0.39012685083384535,539.2886894441485,0.22,1,0,0.6956521739130435,0.863145419990821
46,linucb_frozen,hard,A,0.95,0.9814719999999999,1655.7752715476483,1.0,0,0,0.6808510638297872,0.0
47,linucb_frozen,simple,A,0.8,1.0,1874.104160915725,1.0,1,0,0.6875,0.6563970991479866
48,linucb_frozen,simple,A,0.8,1.0,1926.112680173155,1.0,1,0,0.6938775510204082,0.6537291320560713
49,linucb_frozen,simple,A,0.8,1.0,2045.509909713505,1.0,0,0,0.68,0.0
50,linucb_frozen,simple,A,0.8,1.0,2044.4159670409756,1.0,0,0,0.68,0.0
51,linucb_frozen,simple,D,0.85,0.48117650389140976,536.2833804299614,0.22,1,0,0.7,0.863435200919428
52,linucb_frozen,simple,B,0.95,0.37756279363818956,421.3122258851896,0.1,1,0,0.7,0.8932054221769946
53,linucb_frozen,simple,A,0.8,0.9814719999999999,1838.990401603018,1.0,1,0,0.7,0.6582193752433255
54,linucb_frozen,simple,A,0.8,1.0,1870.3555918189293,1.0,1,0,0.7,0.6565908176006666
55,linucb_frozen,simple,D,0.85,0.5885593167247003,567.4721470251009,0.22,1,0,0.7,0.8604662356785323
56,linucb_frozen,hard,C,0.75,0.34924593942836524,445.09412707342074,0.35,0,0,0.68,0.0
57,linucb_frozen,simple,D,0.85,0.7557803348716079,674.8342204312938,0.22,1,0,0.7,0.8508247685234676
58,linucb_frozen,hard,E,0.9,0.35675991824375153,812.2822743517349,0.6,0,0,0.68,0.0
59,linucb_frozen,simple,D,0.85,0.8852762913245731,676.866076156862,0.22,1,0,0.7,0.8506500041979491
60,linucb_frozen,simple,D,0.85,1.0,955.6177298287955,0.22,1,0,0.7,0.8287525602530885
61,linucb_frozen,simple,D,0.85,1.0,951.7917613235157,0.22,1,0,0.7,0.8290295856842115
62,linucb_frozen,simple,D,0.85,1.0,793.7097467162272,0.22,1,0,0.7,0.8410071631626442
63,linucb_frozen,simple,A,0.8,0.6164783818288659,1236.3211316732802,1.0,1,0,0.72,0.6927536244186671
64,linucb_frozen,simple,D,0.85,1.0,939.9222318830886,0.22,1,0,0.74,0.8298925799321504
65,linucb_frozen,simple,D,0.85,1.0,901.8033852919334,0.22,1,0,0.74,0.8327015722138241
66,linucb_frozen,simple,D,0.85,1.0,936.7327693496703,0.22,1,0,0.74,0.8301254026965068
67,linucb_frozen,hard,C,0.75,0.3855934947983458,600.7574909928624,0.35,0,0,0.74,0.0
68,linucb_frozen,simple,A,0.8,0.6253353181083097,1173.077964057912,1.0,1,0,0.74,0.6968283339479581
69,linucb_frozen,simple,B,0.95,0.3429728955091585,372.58503709312293,0.1,1,0,0.76,0.8986767659209731
70,linucb_frozen,simple,A,0.8,0.784259670343075,1320.6962592263556,1.0,1,0,0.76,0.6874763857634002
71,linucb_frozen,simple,B,0.95,0.5655982102822923,482.8791159461015,0.1,1,0,0.76,0.8867270010688488
72,linucb_frozen,simple,B,0.95,0.7977264250484173,534.7507533728533,0.1,1,0,0.76,0.8815832940601129
73,linucb_frozen,simple,B,0.95,1.0,646.605927848983,0.1,1,0,0.78,0.8712805269226961
74,linucb_frozen,simple,B,0.95,1.0,663.8091589556772,0.1,1,0,0.78,0.8697776793363649
75,linucb_frozen,simple,B,0.95,1.0,785.9830933531363,0.1,1,0,0.78,0.8596219242966988
76,linucb_frozen,simple,B,0.95,1.0,715.2492668191445,0.1,1,0,0.8,0.8653965496468313
77,linucb_frozen,simple,B,0.95,1.0,705.8101449953151,0.1,1,0,0.82,0.8661883722024384
78,linucb_frozen,simple,B,0.95,1.0,637.4280576933048,0.1,0,0,0.82,0.0
79,linucb_frozen,simple,A,0.8,0.5482012314038164,1206.3091368349005,1.0,1,0,0.82,0.694673947012428
80,linucb_frozen,simple,D,0.85,0.46701574306830973,481.99753539804635,0.22,1,0,0.82,0.8688167493512211
81,linucb_frozen,simple,D,0.85,0.7109738539001125,662.084571157111,0.22,1,0,0.84,0.8519274514788943
82,linucb_frozen,simple,D,0.85,0.9256569914320989,871.2343142263202,0.22,1,0,0.84,0.8349974004629969
83,linucb_frozen,simple,D,0.85,1.0,880.6546892002203,0.22,1,0,0.84,0.834285668505604
84,linucb_frozen,simple,D,0.85,1.0,857.7120503911013,0.22,1,0,0.84,0.8360258002207227
85,linucb_frozen,simple,D,0.85,1.0,732.9579762564401,0.22,1,0,0.84,0.8459249838937495
86,linucb_frozen,simple,D,0.85,1.0,863.4816384363695,0.22,1,0,0.84,0.8355860252152482
87,linucb_frozen,simple,A,0.8,0.4971520893537177,1070.7054182126283,1.0,1,0,0.84,0.7036643981655436
88,linucb_frozen,hard,C,0.75,0.3263187836254397,521.4019086484528,0.35,0,0,0.82,0.0
89,linucb_frozen,hard,E,0.9,0.30678170496991874,682.3673283432553,0.6,0,0,0.8,0.0
90,linucb_frozen,hard,C,0.75,0.5527012660395405,692.4587638308553,0.35,0,0,0.78,0.0
91,linucb_frozen,simple,A,0.8,0.5981398011997299,1283.6410868209684,1.0,1,0,0.78,0.6897725936787985
92,linucb_frozen,simple,D,0.85,0.764404086784,607.5839813988138,0.22,1,0,0.78,0.8567653428908301
93,linucb_frozen,simple,D,0.85,0.9726755963699198,782.3376279265656,0.22,1,0,0.78,0.8419130200279369
94,linucb_frozen,hard,C,0.75,0.6314523847100381,739.7558849487402,0.35,0,0,0.78,0.0
95,linucb_frozen,simple,D,0.85,1.0,743.4020884930144,0.22,1,0,0.78,0.8450654201226727
96,linucb_frozen,simple,D,0.85,1.0,935.4974867388939,0.22,1,0,0.8,0.8302156816927544
97,linucb_frozen,simple,D,0.85,1.0,998.8794284104857,0.22,1,0,0.8,0.8256579023496194
98,linucb_frozen,simple,D,0.85,1.0,793.3020652534808,0.22,1,0,0.8,0.8410395248299308
99,linucb_frozen,simple,D,0.85,1.0,931.3011426019591,0.22,1,0,0.82,0.8305228119719665
100,linucb_frozen,hard,A,0.95,0.4892983163911301,1021.0419439628132,1.0,1,0,0.84,0.7070984993806704
101,linucb_frozen,simple,D,0.85,1.0,885.5530885536843,0.22,1,0,0.84,0.8339170868553228
102,linucb_frozen,simple,D,0.85,1.0,789.5242525067252,0.22,1,0,0.84,0.8413398032385174
103,linucb_frozen,simple,D,0.85,1.0,729.5214511946418,0.22,1,0,0.84,0.8462091517378372
104,linucb_frozen,simple,D,0.85,1.0,721.0062567189829,0.22,1,0,0.84,0.846916174551359
105,linucb_frozen,simple,D,0.85,1.0,842.3649259415922,0.22,1,0,0.84,0.8372028562762961
106,linucb_frozen,hard,A,0.95,0.5272321377885715,1272.1394409023853,1.0,0,0,0.84,0.0
107,linucb_frozen,simple,D,0.85,1.0,723.7931797927608,0.22,1,0,0.84,0.8466843169164749
108,linucb_frozen,simple,D,0.85,1.0,923.5222016978438,0.22,1,0,0.86,0.8310939882346742
109,linucb_frozen,simple,D,0.85,1.0,922.3159306844498,0.22,1,0,0.86,0.8311827749742728
110,linucb_frozen,simple,D,0.85,1.0,811.8145756793577,0.22,1,0,0.86,0.8395782926123372
111,linucb_frozen,simple,D,0.85,1.0,788.4366325517592,0.22,1,0,0.86,0.8414263855300995
112,linucb_frozen,simple,D,0.85,1.0,831.0304739708257,0.22,1,0,0.86,0.8380790572505129
113,linucb_frozen,hard,C,0.75,0.35565592159955384,629.45084341074,0.35,0,0,0.84,0.0
114,linucb_frozen,simple,B,0.95,0.3100317383762322,341.6765967439568,0.1,1,0,0.84,0.9023348202997227
115,linucb_frozen,simple,D,0.85,0.9814719999999999,831.4190207009663,0.22,1,0,0.84,0.8380489224007053
116,linucb_frozen,simple,D,0.85,1.0,861.0604934241649,0.22,1,0,0.84,0.8357703925614219
117,linucb_frozen,simple,D,0.85,1.0,787.6474323423186,0.22,1,0,0.86,0.8414892488794431
118,linucb_frozen,simple,D,0.85,1.0,886.3911540471648,0.22,1,0,0.86,0.8338541285621545
119,linucb_frozen,hard,A,0.95,0.40006371279801334,972.6426719243888,1.0,0,0,0.84,0.0
120,linucb_frozen,simple,D,0.85,1.0,845.2552459074178,0.22,1,0,0.84,0.8369803671819199
121,linucb_frozen,simple,D,0.85,1.0,791.3915249537831,0.22,0,0,0.82,0.0
122,linucb_frozen,simple,D,0.85,1.0,834.3192009409495,0.22,1,0,0.82,0.8378242127222791
123,linucb_frozen,simple,D,0.85,1.0,816.633058244125,0.22,1,0,0.82,0.839200699669824
124,linucb_frozen,hard,C,0.75,0.38716445873431926,536.7451186983045,0.35,1,0,0.82,0.8438906260323609
125,linucb_frozen,simple,B,0.95,0.3759828447238716,335.57772623312667,0.1,1,0,0.82,0.9030759221921751
126,linucb_frozen,hard,E,0.9,0.30270824734652796,786.5665914908252,0.6,0,0,0.8,0.0
127,linucb_frozen,simple,D,0.85,0.8996953599999999,654.2748703535136,0.22,1,0,0.8,0.852608140993031
128,linucb_frozen,simple,D,0.85,1.0,846.2756563508449,0.22,1,0,0.82,0.8369019095950408
129,linucb_frozen,simple,D,0.85,1.0,776.2155953874659,0.22,0,0,0.8,0.0
130,linucb_frozen,simple,A,0.8,0.3980479583425688,951.8983649671754,1.0,1,0,0.8,0.7120218593423454
131,linucb_frozen,hard,C,0.75,0.4582246660664852,686.738468401177,0.35,0,0,0.78,0.0
132,linucb_frozen,simple,B,0.95,0.4536550132923872,380.7436635192128,0.1,0,0,0.76,0.0
