t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,random,simple,D,0.85,0.3,428.54059329461086,0.22,1,0,1.0,0.0
1,random,hard,C,0.75,0.3,491.2825189597599,0.35,1,0,1.0,0.0
2,random,simple,B,0.95,0.3,402.48124158162943,0.1,1,0,1.0,0.0
3,random,simple,A,0.8,0.3,999.7751301556445,1.0,1,0,1.0,0.0
4,random,simple,B,0.95,0.53232,437.7529525793967,0.1,1,0,1.0,0.0
5,random,simple,D,0.85,0.45831957504,471.72489861275244,0.22,1,0,1.0,0.0
6,random,simple,B,0.95,0.712228608,462.2857062485029,0.1,1,0,1.0,0.0
7,random,hard,C,0.75,0.43932122603519996,627.809638471918,0.35,1,0,1.0,0.0
8,random,simple,D,0.85,0.6123319574416588,569.6407224989342,0.22,1,0,1.0,0.0
9,random,hard,A,0.95,0.43932122603519996,1159.611919717696,1.0,0,0,0.9,0.0
10,random,simple,A,0.8,0.686602678910976,1513.3101254644432,1.0,1,0,0.9090909090909091,0.0
11,random,simple,A,0.8,0.9042103574416589,1643.3306577042563,1.0,0,0,0.8333333333333334,0.0
12,random,hard,A,0.95,1.0,1692.2356834945629,1.0,0,0,0.7692307692307693,0.0
13,random,hard,A,0.95,1.0,1849.0125096227746,1.0,1,0,0.7857142857142857,0.0
14,random,simple,D,0.85,0.5843694635043527,530.1036121611,0.22,1,0,0.8,0.0
15,random,simple,D,0.85,0.8142451278838303,667.6504904434889,0.22,1,0,0.8125,0.0
16,random,simple,A,0.8,0.9814719999999999,1740.6369463325693,1.0,1,0,0.8235294117647058,0.0
17,random,simple,A,0.8,1.0,1951.175894619887,1.0,1,0,0.8333333333333334,0.0
18,random,simple,A,0.8,1.0,1769.2110471132376,1.0,1,0,0.8421052631578947,0.0
19,random,hard,E,0.9,0.3,805.4789201640659,0.6,1,0,0.85,0.0
20,random,simple,A,0.8,1.0,1988.9190713903813,1.0,1,0,0.8571428571428571,0.0
21,random,simple,D,0.85,0.6781387650332115,550.6962594967579,0.22,1,0,0.8636363636363636,0.0
22,random,simple,D,0.85,0.896762113229226,646.8780768609645,0.22,1,0,0.8695652173913043,0.0
23,random,hard,C,0.75,0.35682048564765395,561.3345587235127,0.35,0,0,0.8333333333333334,0.0
24,random,simple,D,0.85,0.9944525804847126,762.108225887638,0.22,1,0,0.84,0.0
25,random,simple,B,0.95,0.36277550061990793,391.0386121484579,0.1,1,0,0.8461538461538461,0.0
26,random,hard,A,0.95,0.764404086784,1210.4763040778696,1.0,0,0,0.8148148148148148,0.0
27,random,hard,A,0.95,0.9726755963699198,1636.2500984050826,1.0,0,0,0.7857142857142857,0.0
28,random,simple,D,0.85,0.8963685982567087,810.1324477462684,0.22,1,0,0.7931034482758621,0.0
29,random,simple,D,0.85,1.0,648.07934606808,0.22,1,0,0.8,0.0
30,random,simple,D,0.85,1.0,973.495024623197,0.22,1,0,0.8064516129032258,0.0
31,random,simple,A,0.8,0.8833090419282739,1617.0279693657667,1.0,1,0,0.8125,0.0
32,random,simple,A,0.8,1.0,1852.6462119667842,1.0,1,0,0.8181818181818182,0.0
33,random,simple,B,0.95,0.4304665947765287,352.2107101094639,0.1,1,0,0.8235294117647058,0.0
34,random,simple,D,0.85,0.8996953599999999,690.8698572968372,0.22,1,0,0.8285714285714286,0.0
35,random,simple,A,0.8,0.9814719999999999,1804.5067353126944,1.0,1,0,0.8333333333333334,0.0
36,random,simple,A,0.8,1.0,2156.0830330109916,1.0,1,0,0.8378378378378378,0.0
37,random,simple,B,0.95,0.5581488195224845,413.7190994623785,0.1,1,0,0.8421052631578947,0.0
38,random,simple,A,0.8,1.0,1488.034716147947,1.0,1,0,0.8461538461538461,0.0
39,random,simple,D,0.85,0.774797956868866,608.4810631482073,0.22,1,0,0.85,0.0
40,random,simple,D,0.85,0.9818222020446021,752.7915746128119,0.22,1,0,0.8536585365853658,0.0
